X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count
-55.183,18.984,16.8,16.8,0.631,4.0
0.277,127.464,11.218,11.218,0.8,4.0
-16.361,-56.952,16.773,16.773,0.942,4.0
16.915,18.984,19.437,19.437,0.969,4.0
16.915,-18.984,16.657,16.657,1.099,4.0
72.375,-67.8,7.655,7.655,1.203,4.0
-94.005,-56.952,10.243,10.243,1.249,4.0
-121.735,-2.712,4.418,4.418,1.292,4.0
-49.637,-35.256,13.457,13.457,1.294,4.0
94.559,-94.92,10.85,10.85,1.352,4.0
