X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
138.927,-35.256,-25.379,25.379,8.0,2.622
72.375,127.464,0.857,0.857,8.0,3.351
-55.183,-132.888,5.914,5.914,8.0,0.981
-121.735,-2.712,6.356,6.356,8.0,3.26
94.559,62.376,6.371,6.371,8.0,4.082
55.737,-132.888,7.429,7.429,8.0,0.866
72.375,-67.8,8.646,8.646,8.0,3.077
-71.821,62.376,9.571,9.571,8.0,3.615
0.277,-132.888,9.724,9.724,8.0,2.978
-55.183,94.92,11.059,11.059,8.0,3.764
