X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
-55.183,-132.888,-98.478,98.478,4.0,0.393
55.737,-132.888,-97.848,97.848,4.0,0.553
-132.827,-56.952,-93.225,93.225,4.0,0.578
-132.827,56.952,-86.893,86.893,4.0,0.904
-55.183,132.888,-81.683,81.683,4.0,0.485
138.927,-35.256,-25.718,25.718,4.0,1.032
16.915,18.984,19.437,19.437,4.0,3.742
-55.183,18.984,16.8,16.8,4.0,5.469
-16.361,-56.952,16.773,16.773,4.0,3.84
16.915,-18.984,16.657,16.657,4.0,3.335
