X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
-49.637,-35.256,13.865,13.865,8.0,5.963
16.915,-18.984,15.99,15.99,8.0,5.811
-55.183,18.984,17.707,17.707,8.0,5.484
72.375,-2.712,11.087,11.087,8.0,4.932
16.915,-94.92,11.389,11.389,8.0,4.747
-16.361,-56.952,16.81,16.81,8.0,4.217
94.559,62.376,6.371,6.371,8.0,4.082
16.915,18.984,19.259,19.259,8.0,3.843
-55.183,94.92,11.059,11.059,8.0,3.764
94.559,18.984,12.217,12.217,8.0,3.682
