X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
16.915,18.984,19.437,19.437,4.0,3.742
-55.183,18.984,16.8,16.8,4.0,5.469
-16.361,-56.952,16.773,16.773,4.0,3.84
16.915,-18.984,16.657,16.657,4.0,3.335
0.277,-2.712,16.372,16.372,4.0,0.618
-16.361,56.952,14.52,14.52,4.0,2.175
-49.637,-35.256,13.457,13.457,4.0,2.87
133.381,18.984,12.88,12.88,4.0,2.345
55.737,56.952,12.563,12.563,4.0,2.713
94.559,18.984,11.635,11.635,4.0,2.313
